308/6180/19
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
04.06.2019 року місто Ужгород
Суддя Ужгородського міськрайонного суду Бенца К. К., розглянувши матеріали, які надійшли з ВПС «ІНФОРМАЦІЯ_1» ІНФОРМАЦІЯ_2 про притягнення до адміністративної відповідальності гр. Народної Республіки Бангладеш, ОСОБА_1, ІНФОРМАЦІЯ_3, тимчасово не працюючого, мешканця Народної Республіки Бангладеш, -
за ч. 2 ст. 204-1 КпАП України, -
ВСТАНОВИВ:
31.05.2019 року о 12 год. 00 хв. гр. Народної Республіки Бангладеш, ОСОБА_1 в порядку Угоди між Україною та Європейським Співтовариством про реадмісію осіб, встановленим порядком був переданий на територію України з Словаччини, який 30.05.2019 року о 00 год. 04 хв. був виявлений та затриманий прикордонною поліцією Словацької Республіки в районі 140 прикордонного знаку за незаконне перетинання державного кордону з України в Словацьку Республіку, поза межами пунктів пропуску, у складі групи осіб, чим порушив вимоги ст. 9 Закону України «Про державний кордон України», за що відповідальність передбачена ч. 2 ст. 204-1 КУпАП.
Своїми діями гр. Народної Республіки Бангладеш, ОСОБА_1 вчинив адміністративне правопорушення передбачене ч. 2 ст. 204-1 КУпАП незаконний перетин державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України без відповідних документів, чи без дозволу відповідних органів влади, вчинені групою осіб.
Гр. Народної Республіки Бангладеш, ОСОБА_1 в судове засідання не зʼявився, про час та місце розгляду справи повідомлявся своєчасно та належним чином.
Дослідивши матеріали справи, суд приходить до наступного висновку.
У відповідності до положення ст. 9 КУпАП - адміністративним правопорушенням визнається протиправна, винна (умисна або необережна) дія чи бездіяльність, яка посягає на громадський порядок, власність, права і свободи громадян, на встановлений порядок управління і за яку законом передбачено адміністративну відповідальність.
Вина гр. Народної Республіки Бангладеш, ОСОБА_1 у вчиненні адміністративного правопорушення передбаченого ч. 2 ст. 204-1 КУпАП стверджується даними протоколу про адміністративне правопорушення ВПС «ІНФОРМАЦІЯ_1» ІНФОРМАЦІЯ_2 серії ЗхРУ № 009004 від 03.06.2019 року, даними протоколу про адміністративне затримання гр. Народної Республіки Бангладеш, Камонашіш Чанда ВПС «ІНФОРМАЦІЯ_1» Чопського прикордонного загону Західного регіонального управління ДПС України від 31.05.2019 року, даними протоколу особистого огляду, огляду речей та вилучення документів від 31.05.2019 року, даними акту приймання - передавання особи від 31.05.2019 року, даними протоколу зустрічі від 31.05.2019 року.
Дослідивши матеріали справи, вважаю, що гр. Народної Республіки Бангладеш, ОСОБА_1 винний у скоєнні адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП, тобто незаконний перетин державного кордону України будь-яким способом поза пунктами пропуску через державний кордон, вчинені групою осіб.
Враховуючи характер та обставини адміністративного правопорушення, особу правопорушника, приходжу до висновку про необхідність накладення на гр. Народної Республіки Бангладеш, ОСОБА_1 адміністративного стягнення, передбаченого ч. 2 ст. 204-1 КУпАП у вигляді штрафу.
Керуючись ч. 2 ст. 204-1, 221, 284, 285, 289, 294 КУпАП, судя, -
ПОСТАНОВИВ:
Гр. Народної Республіки Бангладеш, ОСОБА_1, ІНФОРМАЦІЯ_3, тимчасово не працюючого, мешканця Народної Республіки Бангладеш, визнати винним у вчиненні адміністративного правопорушення передбаченого ч. 2 ст. 204-1 КУпАП і призначити йому адміністративне стягнення у вигляді штрафу в розмірі пʼятисот неоподатковуваних мінімумів доходів громадян, що становить 8500 (вісім тисяч пʼятсот) гривень в дохід держави.
Стягнути з гр. Народної Республіки Бангладеш, ОСОБА_1, ІНФОРМАЦІЯ_3 на користь держави 384, 20 гривень судового збору.
На постанову про адміністративне правопорушення може бути подана апеляційна скарга протягом десяти днів з дня винесення постанови.
Суддя Ужгородського
міськрайонного суду К. К. Бенца
=== ENTITIES ===
1:1     CASE_NUMBER        308/6180/19
4:1     HEARING_DATE       04.06.2019
5:7     COURT_RAYON        Ужгородського
5:97    VPS                ІНФОРМАЦІЯ_1
5:181   CITIZEN            Народної Республіки Бангладеш
8:1     ARR_DATE           31.05.2019
8:19    ARR_TIME           12 год. 00 хв.
8:38    CITIZEN            Народної Республіки Бангладеш
8:217   BORDER_CNTRY       Словаччини
8:234   ARR_DATE           30.05.2019
8:295   GUARD              прикордонною поліцією
8:317   CITIZEN            Словацької Республіки
8:428   BORDER_CNTRY       Словацьку Республіку
9:18    CITIZEN            Народної Республіки Бангладеш
10:5    CITIZEN            Народної Республіки Бангладеш
13:10   CITIZEN            Народної Республіки Бангладеш
13:199  VPS                ІНФОРМАЦІЯ_1
13:232  PROTOCOL           ЗхРУ № 009004
13:250  PROTO_DATE         03.06.2019
13:319  CITIZEN            Народної Республіки Бангладеш
13:371  VPS                ІНФОРМАЦІЯ_1
13:467  PROTO_DATE         31.05.2019
13:624  READM_DATE         31.05.2019
14:45   CITIZEN            Народної Республіки Бангладеш
15:146  CITIZEN            Народної Республіки Бангладеш
18:5    CITIZEN            Народної Республіки Бангладеш
18:272  RESOLUTION         штрафу
18:357  FINE               8500
19:16   CITIZEN            Народної Республіки Бангладеш
21:7    COURT_RAYON        Ужгородського
